slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,6.015525786877473,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
1,6.0359528593102585,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
2,6.721736015630963,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
3,6.281064626355089,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
4,6.406361070223658,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
5,6.416214701687117,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
6,7.271320352265354,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
7,6.506068141305789,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
8,6.30518573995602,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
9,6.937747595015432,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
10,6.410568783019325,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
11,7.0717981201046065,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
12,6.267131373495621,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
13,6.004312781824156,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
14,6.96973734773725,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
15,6.822343872216077,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
16,7.025022444734203,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
17,7.0762640599997475,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
18,6.829264567089623,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
19,6.420704717730748,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
20,6.753506452690293,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
21,6.839924512556012,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
22,5.54087656905242,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
23,6.662736246050429,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
24,6.556252564903832,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
25,7.119352965664757,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
26,6.314411894279959,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
27,6.498957414439897,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
28,6.128068621764394,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
29,6.91821453413087,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
30,6.570672361241112,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
