slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,4.621583922345864,95.78589026611331,0.07594757976514038,95.70994268634817,7594757976.514039,20,0.0,0.0,200.0,200.0
1,4.547721552246228,91.42342080227931,0.07477851505126121,91.34864228722805,7477851505.126121,20,0.0,0.0,200.87432999106747,201.671976325881
2,4.757871981999761,88.58252338732899,0.07964092304917751,88.5028824642798,7964092304.917751,20,0.0,0.0,208.82839681088117,223.4598923404356
3,4.695568267225388,86.3277994457729,0.07753539997988829,86.250264045793,7753539997.988831,20,0.0,0.0,207.90312818411064,242.99686605808668
4,4.765985502589727,93.17360680338035,0.07936817436493587,93.09423862901542,7936817436.4935875,20,0.0,0.0,195.45427735863024,233.4434212752285
5,4.800071991767833,98.59985610546772,0.07988015067285653,98.51997595479487,7988015067.285656,20,0.0,0.0,192.61455649498228,258.3605044588649
6,5.273909092443218,84.904576323601,0.08926710951667416,84.81530921408434,8926710951.667418,20,0.0,0.0,203.10904304506582,230.26569864942476
7,4.901627628722595,85.48884335119737,0.08115719621870232,85.40768615497868,8115719621.870234,20,0.0,0.0,206.9196438546572,236.78172181516138
8,4.807520686940737,86.8265793750888,0.08018557173274747,86.74639380335606,8018557173.274747,20,0.0,0.0,203.08614952144418,223.67775306048765
9,5.0916718128035905,84.9431049959825,0.0854491112922455,84.85765588469025,8544911129.224553,20,0.0,0.0,209.1914253884623,239.1989056521437
10,4.737559437946994,84.8209872371317,0.07840333187125306,84.74258390526045,7840333187.125306,20,0.0,0.0,211.57049869488364,227.73222841824216
11,5.189774299173603,85.50664447899277,0.08719281763696114,85.41945166135581,8719281763.696117,20,0.0,0.0,204.6473043005593,219.05597903735037
12,4.658705107456139,84.78508917460088,0.07679856240970358,84.70829061219118,7679856240.970361,20,0.0,0.0,209.65868791157214,222.49785899932087
13,4.632595989417645,86.38489792942859,0.07635454848674762,86.30854338094184,7635454848.674763,20,0.0,0.0,215.4328356275452,213.27972991715947
14,4.995521875485179,91.23802417925324,0.08432552268748748,91.15369865656575,8432552268.748748,20,0.0,0.0,204.638257386502,224.83655759615976
15,5.128228060093602,85.43264118410926,0.08602272319044811,85.3466184609188,8602272319.044811,20,0.0,0.0,205.78350817519313,227.2544763718563
16,5.146539945593469,84.71438484330837,0.08660333675443573,84.62778150655393,8660333675.443573,20,0.0,0.0,218.3326912297499,222.3442411120655
17,5.202665493357924,86.70683614740926,0.08711756593521822,86.61971858147405,8711756593.521822,20,0.0,0.0,209.66868157003705,222.44426592904864
18,5.023457462685758,90.22542643632877,0.08397423617040671,90.14145220015837,8397423617.040671,20,0.0,0.0,201.80189683872942,236.87650564584564
19,4.661158436750298,87.52915791358,0.07735550491657525,87.45180240866341,7735550491.657525,20,0.0,0.0,213.41097803708732,218.47480200881307
20,4.964301707503324,130.50825613002974,0.08293000879230321,130.42532612123742,8293000879.230323,20,0.0,0.0,211.17491465121844,221.90559146865465
21,5.133799052875802,96.45060226679992,0.08555585915569305,96.36504640764423,8555585915.569307,20,0.0,0.0,211.27551733102908,222.0265510327583
22,4.346465704474319,87.27124432801074,0.07103596476378117,87.20020836324696,7103596476.378118,20,0.0,0.0,211.8356771372894,220.3057741194499
23,4.9789315095968405,88.43065735625812,0.08350195082079731,88.34715540543732,8350195082.079731,20,0.0,0.0,200.59783064242822,233.7185517607005
24,4.7982117860544005,84.92641563549192,0.08002748109396103,84.84638815439796,8002748109.396103,20,0.0,0.0,214.88494874030155,220.69785057297753
25,5.289604860772513,95.9118589371707,0.0897445622330452,95.82211437493766,8974456223.30452,20,0.0,0.0,207.45868610032724,220.9944506648235
26,4.737151493284309,93.19419832658733,0.07878310716310345,93.11541521942422,7878310716.310345,20,0.0,0.0,209.27935927341858,221.4346463847284
27,4.74404648174968,84.71263899310982,0.07883822777595383,84.63380076533387,7883822777.595385,20,0.0,0.0,207.0475527174456,221.03353005092183
28,4.510333569059972,85.01682805741034,0.07450928499174775,84.94231877241859,7450928499.174777,20,0.0,0.0,215.60478484169363,221.88189958367974
29,5.031338990478145,85.48645774300829,0.08381476269618642,85.4026429803121,8381476269.618642,20,0.0,0.0,203.5213556817286,222.00065174234797
30,4.842922342805442,84.76548969810871,0.08021575342099638,84.68527394468771,8021575342.099638,20,0.0,0.0,209.62474030697598,221.76538379116892
31,5.133883740352544,84.99040733929367,0.08608306320381062,84.90432427608985,8608306320.381062,20,0.0,0.0,205.2537967720051,231.54232567062928
32,4.820727578337701,102.09947373371331,0.08011995752466894,102.01935377618864,8011995752.466897,20,0.0,0.0,210.34404512771212,220.7613202783479
33,4.8654286288752475,86.50262736401713,0.0810628044672031,86.42156455954992,8106280446.720311,20,0.0,0.0,210.70982278855868,219.483649211414
34,4.3163497350933,86.2094141920974,0.0696021861862709,86.13981200591112,6960218618.62709,20,0.0,0.0,200.62998386465574,231.9678320611104
35,4.6088161398296625,90.47229978613292,0.07648301811917593,90.39581676801374,7648301811.917592,20,0.0,0.0,213.70818297266797,240.20467270023613
36,4.66066760478263,86.53175939753069,0.07686185085989285,86.4548975466708,7686185085.989285,20,0.0,0.0,210.66026018187137,218.34487206333202
37,4.721594960219497,84.73211931341355,0.07756206035177905,84.65455725306177,7756206035.177906,20,0.0,0.0,209.60164061638991,234.42264463091783
38,4.621831021265679,85.53691361668479,0.07672808848683138,85.46018552819795,7672808848.683136,20,0.0,0.0,215.93769938051642,228.89400844237377
39,4.719487474131345,104.17991583114234,0.07821869833509291,104.10169713280725,7821869833.509294,20,0.0,0.0,213.15223615612038,223.56583678050208
40,4.6024219468106855,87.73620746399433,0.07518856883630456,87.66101889515802,7518856883.630458,20,0.0,0.0,212.19759347459834,222.83037489362962
41,4.60231783358539,89.58045416915793,0.07611213746718118,89.50434203169075,7611213746.718119,20,0.0,0.0,200.61292439708677,236.95747487512276
42,5.0970674694992555,88.14831585916961,0.08571877544422306,88.0625970837254,8571877544.422306,20,0.0,0.0,215.12661837153902,221.85993029592666
43,4.724897414046507,87.41842062638771,0.07899206113986076,87.33942856524786,7899206113.986076,20,0.0,0.0,212.37559846931663,224.418911271741
44,4.605909337875417,89.08285271690752,0.07545464863382452,89.0073980682737,7545464863.382451,20,0.0,0.0,210.37619817850867,242.04302585553657
45,4.596678440527403,85.1471354135178,0.07552976936165208,85.07160564415615,7552976936.165209,20,0.0,0.0,212.5403836021841,221.88563670734797
46,4.951678919672718,85.55177817853153,0.0821011694921018,85.46967700903943,8210116949.210178,20,0.0,0.0,214.88881941208848,228.24061495184583
47,4.97230750113843,88.88264091649067,0.08259275698695814,88.80004815950372,8259275698.695815,20,0.0,0.0,217.1749725692188,241.8779630982665
48,4.136118344320472,86.78126254382502,0.06588340872815866,86.71537913509687,6588340872.815866,20,0.0,0.0,212.33515345519703,222.48864200513762
49,4.563658692675602,88.22040764991665,0.0748303177211475,88.1455773321955,7483031772.114749,20,0.0,0.0,201.64014025664528,235.21050488944272
50,4.715497968206302,87.6412229581053,0.07820587507341975,87.56301708303188,7820587507.341976,20,0.0,0.0,218.58105736931677,226.54583907388272
51,4.682883998933121,96.67544781128012,0.07736084892817138,96.59808696235196,7736084892.817136,20,0.0,0.0,214.58794583214015,226.01203310557963
52,4.948181110345416,114.95251311519029,0.08333057045694299,114.86918254473335,8333057045.6943,20,0.0,0.0,212.8968470141845,226.57915787803347
53,4.572889293309304,84.70844882449484,0.07565005068208824,84.63279877381275,7565005068.208826,20,0.0,0.0,212.58438810182645,227.27014756362703
54,5.000334467000283,88.0583451215808,0.08355377240988708,87.97479134917091,8355377240.9887085,20,0.0,0.0,221.1903235641326,227.52332720137977
55,4.655513980941066,84.67452303379632,0.07709755783899447,84.59742547595732,7709755783.899446,20,0.0,0.0,222.581367684745,223.98499454320068
56,4.545117384622966,84.72079261738286,0.07517296917534197,84.64561964820751,7517296917.534196,20,0.0,0.0,213.73268838524285,227.4822361096939
57,4.474473754325462,84.79840221823456,0.07317791035770023,84.72522430787686,7317791035.770022,20,0.0,0.0,210.6351954415778,219.58230032559803
58,4.828826279655055,85.99182024901356,0.07952459735473215,85.91229565165882,7952459735.473214,20,0.0,0.0,218.00787398820069,227.73320485032212
59,5.015960531982943,84.84379621883711,0.08357460331428228,84.76022161552284,8357460331.428228,20,0.0,0.0,217.46673903996862,233.09391718509175
60,4.800552171560013,94.59011099076473,0.07956025149389856,94.51055073927083,7956025149.389858,20,0.0,0.0,213.40850748985537,226.45489775286026
61,4.550944616556768,87.09408386242713,0.07449521611208398,87.01958864631504,7449521611.208399,20,0.0,0.0,211.5413405412458,227.29108119523252
62,4.915663966645304,85.37058955686886,0.08224453703590962,85.28834501983296,8224453703.590961,20,0.0,0.0,215.72799717442592,226.00625137025196
63,4.1474105016424705,86.12665448477,0.0664424717460209,86.06021201302399,6644247174.60209,20,0.0,0.0,217.63659493292843,212.84365173942322
64,4.792273322183653,85.13693207484417,0.07950824794590372,85.05742382689826,7950824794.590371,20,0.0,0.0,215.692465518928,217.68771150452145
65,4.8298088594982405,86.9771740770225,0.08043540266922948,86.89673867435327,8043540266.922949,20,0.0,0.0,216.52154573836785,224.44677475112132
66,4.547585250054952,95.32559047097897,0.07492195036546033,95.2506685206135,7492195036.546036,20,0.0,0.0,229.24743349940766,235.65481670096892
67,4.827037291328243,86.67096909508837,0.08005890809836182,86.59091018699,8005890809.83618,20,0.0,0.0,214.8731452598194,212.59686170624934
68,4.505052300370763,89.01905161659991,0.07356995632097901,88.94548166027893,7356995632.097903,20,0.0,0.0,223.01707895159998,226.81019015965936
69,4.847060824948827,87.78941371200057,0.08134854087174498,87.70806517112882,8134854087.174497,20,0.0,0.0,225.70860065257284,206.80284302654678
70,5.318624005719618,88.6078542176119,0.08997533757492195,88.51787888003697,8997533757.492193,20,0.0,0.0,222.57314083703486,224.87837297655665
71,4.560101011331863,84.78864063629887,0.07451801746530357,84.71412261883356,7451801746.530357,20,0.0,0.0,229.11502232288015,206.4228465609226
72,4.5912192941063275,88.71731567911439,0.07520040561521137,88.64211527349919,7520040561.521137,20,0.0,0.0,228.52008119190884,217.32376100089058
73,5.060564810308933,90.09474459252992,0.0858886489121464,90.00885594361777,8588864891.21464,20,0.0,0.0,227.001130984129,237.0251696225796
74,4.821412328709254,87.69113890686194,0.08022157001953194,87.6109173368424,8022157001.953195,20,0.0,0.0,214.9561429852634,219.10554524750466
75,4.649008404324838,84.94242181882423,0.0764913612902362,84.86593045753399,7649136129.023622,20,0.0,0.0,214.85737812358093,223.1050492527575
76,4.418555132714582,90.45557767239126,0.07242171219930092,90.38315596019196,7242171219.930092,20,0.0,0.0,221.07249287231537,219.15634822475067
77,5.233902951424428,90.49545020303889,0.08768765619947234,90.40776254683941,8768765619.947235,20,0.0,0.0,218.8973093468317,221.0436049412774
78,4.884017396419651,85.98109390830282,0.08096085696945306,85.90013305133337,8096085696.945307,20,0.0,0.0,235.76228495521588,206.7832761026939
79,4.472482813884991,84.80225248589248,0.07332776681066502,84.72892471908182,7332776681.066502,20,0.0,0.0,220.84602548136752,206.92866787098706
