slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,6.932375883518797,88.75486773059778,0.11392136964771056,88.64094636095007,11392136964.771057,20,0.0,0.0,200.0,200.0
1,6.8210633421631295,130.42769417091176,0.11216777257689178,130.31552639833487,11216777257.68918,20,0.0,0.0,209.62863780453281,217.25328555093333
2,7.136571320470207,130.560630043131,0.11946138457376627,130.44116865855725,11946138457.376627,20,0.0,0.0,209.48695506237044,217.3405638960188
3,7.041106417119097,129.85957999083573,0.11630309996983244,129.7432768908659,11630309996.983244,20,0.0,0.0,209.33558098847735,217.37817320101388
4,7.147289925376388,129.6455206151244,0.1190522615474038,129.526468353577,11905226154.740381,20,0.0,0.0,209.54001903267192,217.34170027641014
5,7.1940343537025475,126.93254851485281,0.11982022600928482,126.81272828884353,11982022600.928482,20,0.0,0.0,209.76043583962738,217.32070465245351
6,7.909972788035904,130.4975576104286,0.13390066427501127,130.36365694615358,13390066427.501125,20,0.0,0.0,210.11362113669824,217.35035317441557
7,7.351034834065239,131.11433286468673,0.12173579432805348,130.99259707035867,12173579432.805347,20,0.0,0.0,210.27581014505654,217.36019731105793
8,7.210854528168111,129.94782985739946,0.1202783575991212,129.82755149980034,12027835759.912119,20,0.0,0.0,210.31135733241362,217.26849345634923
9,7.635846758986309,131.28944975036904,0.12817366693836826,131.16127608343066,12817366693.836826,20,0.0,0.0,210.3601672911884,217.0723874721023
10,7.105858060350908,130.61226226447243,0.1176049978068796,130.49465726666554,11760499780.687962,20,0.0,0.0,210.41464168601658,217.02489491831037
11,7.784483353810827,128.83766718459304,0.13078922645544175,128.7068779581376,13078922645.544172,20,0.0,0.0,210.56582378387577,217.0182924875406
12,6.987881092551818,130.34763543162296,0.1151978436145554,130.2324375880084,11519784361.455542,20,0.0,0.0,210.82942563416555,216.9723317463632
13,6.94888310629203,127.61725201745972,0.11453182273012144,127.5027201947296,11453182273.012146,20,0.0,0.0,210.9838192012379,217.0503257821605
14,7.492880165461457,131.19487929226986,0.1264882840312312,131.06839100823862,12648828403.123123,20,0.0,0.0,211.22115498069175,217.2723396586333
15,7.691840051908334,128.03076218417468,0.12903408478567216,127.90172809938902,12903408478.567219,20,0.0,0.0,211.29373186925235,217.32137327234759
16,7.719599450398535,125.53385893299206,0.12990500513165357,125.40395392786041,12990500513.165358,20,0.0,0.0,211.59975046244242,217.34542860224138
17,7.803838687374919,122.75014432798912,0.1306763489028273,122.6194679790863,13067634890.282732,20,0.0,0.0,212.00886243018562,217.36485032389442
18,7.53362324772276,124.13304634749137,0.1259613542556101,124.00708499323576,12596135425.561007,20,0.0,0.0,212.43073237844723,217.6462653680181
19,6.99172657641058,130.4413528678898,0.11603325737486286,130.32531961051495,11603325737.48629,20,0.0,0.0,212.88939820103778,217.6795093714362
20,7.446321354754878,130.5727595472234,0.12439501318845482,130.44836453403494,12439501318.845484,20,0.0,0.0,212.92610939271088,217.51801216484048
21,7.7005567996059385,128.4118604512407,0.12833378873353962,128.28352666250717,12833378873.35396,20,0.0,0.0,212.85624317512722,217.37924996085744
22,6.51961469065852,126.63700329731542,0.10655394714567176,126.53044935016975,10655394714.567175,20,0.0,0.0,212.73860808653708,217.1154325033292
23,7.466990008403871,123.08875716197107,0.12525292623119597,122.96350423573988,12525292623.119598,20,0.0,0.0,212.5071641546066,216.83197152747024
24,7.197191918886894,121.86452537561678,0.12004122164094155,121.74448415397583,12004122164.094156,20,0.0,0.0,212.16269885400504,216.4756625131103
25,7.9342100523168115,123.22376955939528,0.13461684334956778,123.08915271604572,13461684334.956778,20,0.0,0.0,211.70972797052818,216.1891061459494
26,7.105548874306827,130.2214765925504,0.11817466074465516,130.10330193180576,11817466074.465517,20,0.0,0.0,211.23568610903183,216.05981950206353
27,7.115858926885891,130.29308980101055,0.11825734166393073,130.17483245934662,11825734166.393076,20,0.0,0.0,211.0615610203247,216.11525461874774
28,6.7652780310634375,130.478815193844,0.11176392748762165,130.36705126635638,11176392748.762165,20,0.0,0.0,210.89969511021232,216.04267685126763
29,7.546596473713148,129.73127126504892,0.12572214404427964,129.60554912100463,12572214404.427965,20,0.0,0.0,210.99773010478646,215.9134466539021
30,7.264157265487156,131.14464885089458,0.12032363013149457,131.02432522076307,12032363013.149456,20,0.0,0.0,211.18296293070748,215.801383867862
31,7.699748693593654,127.46357923203527,0.12912459480571592,127.33445463722956,12912459480.571592,20,0.0,0.0,211.2762116408002,215.78956616512392
32,7.2309242576168105,126.35346216227481,0.12017993628700344,126.23328222598781,12017993628.700344,20,0.0,0.0,211.58457175537296,215.9135585978932
33,7.298044355932526,129.17604916761724,0.12159420670080466,129.05445496091644,12159420670.080465,20,0.0,0.0,211.67044004394054,216.2814634562131
34,6.473264762225341,129.9270264822734,0.10440327927940633,129.82262320299398,10440327927.940638,20,0.0,0.0,211.58636361270263,216.51577516426127
35,6.911408341250188,128.03301642881738,0.11472452717876389,127.91829190163861,11472452717.87639,20,0.0,0.0,211.58825594663125,216.71818540674983
36,6.990960882039426,128.54352780057494,0.11529277628983928,128.4282350242851,11529277628.983929,20,0.0,0.0,211.79605229165395,216.94307744210047
37,7.081324950158774,123.6307457573932,0.1163430905276686,123.51440266686554,11634309052.76686,20,0.0,0.0,212.0621571943774,217.03562300112824
38,6.932196241782946,125.87316599123025,0.11509213273024704,125.7580738585,11509213273.024706,20,0.0,0.0,212.28377085175208,217.45789582581853
39,7.079054128829337,124.96306940536911,0.1173280475026394,124.84574135786647,11732804750.263939,20,0.0,0.0,212.34392456020802,217.84951630235332
40,6.903506015260852,124.17850514646415,0.11278285325445685,124.06572229320969,11278285325.445686,20,0.0,0.0,212.48015059665784,218.2574583708888
41,6.90195522069255,122.01010316176854,0.11416820620077177,121.89593495556777,11416820620.077179,20,0.0,0.0,212.53161870323072,218.71237772305818
42,7.6455223875698115,129.4425154156799,0.12857816316633458,129.31393725251357,12857816316.633461,20,0.0,0.0,212.77962061061433,219.18195035131885
