slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,13.210412737326287,93.0046148635761,0.10981742442423817,92.89479743915186,10981742442.423822,16,0.0,0.0,200.0,200.0
1,13.78490707463827,98.6371654517685,0.10591778228440626,98.53124766948409,10591778228.440628,16,0.0,0.0,224.86177955693194,200.74087627107585
2,21.72914191788463,84.80186333498327,0.07118375291236309,84.7306795820709,7118375291.236311,12,0.0,0.0,217.44258521058683,229.8089954956002
3,17.41580965535003,98.61326504137992,0.08201737189586462,98.53124766948406,8201737189.586463,13,0.0,0.0,224.62219442386626,238.17668359926316
4,19.52500953319532,89.92959551466903,0.0664541086457638,89.86314140602327,6645410864.57638,11,0.0,0.0,195.15454044272366,232.55019545410096
5,19.605375666585026,96.20640417632002,0.06627041098367803,96.14013376533634,6627041098.367803,11,0.0,0.0,200.70016792863032,211.8740560957144
6,25.49581970682429,98.57399511231989,0.04274744283583045,98.53124766948406,4274744283.5830445,7,0.0,0.0,227.2618623428545,203.09304261034958
7,17.22492443098247,89.32569753043937,0.08993414098944699,89.23576338944993,8993414098.944702,13,0.0,0.0,208.53250985897324,226.52830142126376
8,16.96053478726912,91.9224201816614,0.08553253367744183,91.83688764798396,8553253367.7441845,13,0.0,0.0,197.06059293643727,209.43667506663348
9,22.787431561283835,98.58808767528822,0.05684000580415734,98.53124766948406,5684000580.415734,9,0.0,0.0,195.23152911007764,233.10800735999294
10,19.082161376808315,98.61362577306686,0.08237810358280434,98.53124766948406,8237810358.280436,13,0.0,0.0,190.48262036478607,203.48626085967845
11,22.98764026986959,98.59202182598506,0.06077415650099184,98.53124766948406,6077415650.099184,9,0.0,0.0,176.24057253155542,229.89012560550628
12,16.95932035178178,89.89960719604646,0.0907952317705434,89.80881196427592,9079523177.054338,14,0.0,0.0,196.8776981414441,208.1160803552163
13,16.079357314106534,87.60785030751141,0.07971246314532791,87.52813784436609,7971246314.532793,13,0.0,0.0,198.23456286814016,210.8526143700566
14,22.32314145433833,98.5911450201312,0.05989735064716816,98.53124766948403,5989735064.716818,10,0.0,0.0,203.4765054100331,228.12750540263448
15,20.13489745905658,98.5910277939217,0.059780124437632184,98.53124766948406,5978012443.763219,9,0.0,0.0,178.63050249827234,211.31453007675077
16,22.113218715878524,85.51417373158118,0.05855189636861348,85.45562183521257,5855189636.861347,9,0.0,0.0,206.58405040709016,200.4242059626839
17,24.39480969517125,98.57770665358198,0.04645898409792873,98.53124766948406,4645898409.792872,7,0.0,0.0,193.1980371590094,197.11673634192482
18,21.818798354118567,89.36194762376796,0.06474427289047897,89.29720335087748,6474427289.047898,10,0.0,0.0,194.1769305199427,167.13271113202478
19,20.439261124258763,98.600384103253,0.06913643354513593,98.53124766970787,6913643354.513594,12,0.0,0.0,192.3509874248345,187.7191838755656
20,21.83041253094711,84.6612072951522,0.0641329444691686,84.59707435068303,6413294446.916861,10,0.0,0.0,215.91736573198256,206.28328400146398
