slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,16.605129207796193,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
1,17.977936415738398,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
2,13.102691697328481,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
3,17.362373315718575,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
4,18.58541152035765,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
5,18.24158467771757,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
6,21.404550990582795,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
7,17.487260264150468,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
8,13.551457577483992,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
9,20.52218137156585,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
10,16.753353328912567,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
11,17.493338028886054,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
12,20.499271968780494,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
13,13.70714606997704,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
14,13.325023026186443,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
15,17.448595989985428,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
16,20.86211580063253,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
17,19.103588269239157,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
18,21.667171545618153,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
19,18.7391491074342,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
20,20.203348130156858,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
21,17.45195359202695,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
22,15.737249868206066,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
23,18.755279721669318,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
24,18.765821319065843,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
25,12.717201707786986,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
26,16.988628055744265,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
27,18.5477530117637,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
28,15.907654092448642,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
29,19.75352971494457,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
30,19.022310552952394,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
31,20.18522837375996,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
32,19.97958507611768,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
33,20.799434822106566,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
34,14.199187358550024,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
35,16.873367880327756,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
36,17.25719100408271,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
37,19.903084172510347,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
38,17.733558387764575,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
39,14.949617493370003,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
40,15.85255955452826,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
41,14.042411171213047,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
42,19.30603049947466,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
43,20.18338471242209,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
44,14.023484557273838,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
45,16.96995719233161,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
46,19.30295186181103,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
47,21.51816994143982,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
48,12.908644156505595,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
49,16.364160550305996,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
50,14.214040484099536,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
51,15.975970749180263,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
52,18.187342635317798,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
53,15.275874741310961,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
54,18.422313401209827,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
55,15.043333455626431,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
56,13.491782433736642,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
57,13.95588485871578,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
58,15.629215421159074,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
59,16.970899510186708,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
60,13.865207628382876,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
61,14.184442671649286,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
62,18.547066201676653,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
63,11.713486701368453,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
64,21.169620312896193,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
65,20.446337718839036,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
66,15.907375954596194,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
67,17.96444627185434,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
68,16.731882981105617,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
69,16.984387471371253,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
70,18.347182960752704,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
71,18.658806695688337,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
72,16.877902942739063,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
73,18.586280442975475,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
74,15.460459951098544,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
75,19.052685715423188,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
76,15.496233971875956,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
77,20.84701284572457,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
78,17.92534049372879,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
79,16.851798624795087,131.35996834984556,0.0,131.35996834984556,0.0,0,0.0,0.0,200.0,200.0
