slot,Cs,Eu,Ec_u,Ep_u,uav_workload_cycles,offload_count,Qc,Qp,uav_x,uav_y
0,6.031042286491364,90.48519403038485,0.10660758164592969,90.37858644873891,10660758164.592968,20,0.0,0.0,200.0,200.0
1,6.278661343620062,87.486346452204,0.11719284818850319,87.3691536040155,11719284818.850319,19,0.0,0.0,191.81020197091883,220.47288981402784
2,4.021684165697005,129.30100191520728,0.07687493211226999,129.224126983095,7687493211.227001,18,0.0,0.0,208.29407631230652,213.7888690164095
3,7.045553071705881,87.24721192001229,0.12034305985141557,87.12686886016087,12034305985.141556,20,0.0,0.0,208.52835347203322,213.83800790808417
4,5.399706068136353,86.77505234589975,0.10828140219925268,86.6667709437005,10828140219.925268,17,0.0,0.0,212.5229717498406,212.23390931359953
5,5.759416609047636,100.71609062952555,0.11028326388505227,100.6058073656405,11028326388.505228,18,0.0,0.0,225.05992692531976,223.00352356644865
6,6.644811329405557,95.64157246123781,0.12472448225787562,95.51684797897994,12472448225.787563,18,0.0,0.0,224.17346164584237,224.1202647805989
7,5.605626384109143,86.43867345060501,0.10634712386656943,86.33232632673844,10634712386.656944,18,0.0,0.0,196.7608373500955,223.73377161678806
8,5.164593501954134,86.56705307707871,0.09181282990873238,86.47524024716998,9181282990.87324,20,0.0,0.0,211.19090669382533,230.32285880215693
9,9.02233634634805,86.52244829185092,0.11399009386746113,86.40845819798346,11399009386.746113,19,0.0,0.0,199.2632865667933,241.21598780894072
10,6.0899574725338015,85.31740113177939,0.10858032294961818,85.20882080882977,10858032294.961817,20,0.0,0.0,209.85302138566922,229.1966260382207
11,6.201824567568752,86.11621601374503,0.11070144174669845,86.00551457199833,11070144174.669842,20,0.0,0.0,210.0724359529087,222.73084849650178
12,7.2419501793667145,84.73107399105626,0.12806569365042197,84.60300829740584,12806569365.042198,19,0.0,0.0,200.26026751962138,234.28543504676287
13,4.998239906437279,85.65415934515737,0.09124953989761997,85.56290980525975,9124953989.761997,20,0.0,0.0,209.26445829481915,233.28841384394656
14,4.6833254173538545,84.67953935174118,0.08223501396860262,84.59730433777258,8223501396.860262,20,0.0,0.0,211.68499265422847,227.96002721432296
15,5.608287508277909,86.66372589946678,0.10494627857238356,86.5587796208944,10494627857.238354,18,0.0,0.0,208.95499074430626,219.08626720752102
16,6.410742693471698,90.32757298802669,0.11926357028877616,90.20830941773791,11926357028.877617,19,0.0,0.0,208.42782582455968,223.79534308064765
17,6.597806920243957,93.51415751249772,0.11524000248849878,93.39891751000921,11524000248.849878,20,0.0,0.0,211.10605238961728,222.60527742985735
18,8.994647621145422,84.71732707940704,0.11251069161857327,84.60481638778847,11251069161.857328,18,0.0,0.0,211.32711991753447,220.39758364228325
